Feature,Importance,Selected_by_RFE,Selected_by_Threshold,Selected_by_TopN
original_firstorder_10Percentile_delta_t48_t72,0.0002308794104304337,False,False,False
original_firstorder_RootMeanSquared_delta,0.0002286533229517253,False,False,False
original_firstorder_MeanAbsoluteDeviation_slope_t0_t24,0.00021842073908671025,False,False,False
original_firstorder_Kurtosis_t0,0.0002182247864704912,False,False,False
original_firstorder_Skewness_delta_t48_t72,0.00021596690614594506,False,False,False
original_firstorder_Minimum_slope,0.00021284805301262908,False,False,False
original_firstorder_RootMeanSquared_slope_t24_t48,0.00020734687600860096,False,False,False
original_glrlm_RunEntropy_delta_t48_t72,0.00020503153580074359,False,False,False
original_firstorder_RootMeanSquared_delta_t24_t48,0.0001959585227262635,False,False,False
original_firstorder_Kurtosis_delta_t0_t24,0.00018382927440391047,False,False,False
original_gldm_SmallDependenceHighGrayLevelEmphasis_slope,0.00016615798803646563,False,False,False
original_firstorder_Energy_t24,0.00015819201845054812,False,False,False
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope_t48_t72,0.00015784945720907884,False,False,False
original_glrlm_LongRunEmphasis_slope_t48_t72,0.00015593400883526768,False,False,False
original_shape2D_Perimeter_delta_t0_t24,0.00014861417838022046,False,False,False
original_gldm_DependenceNonUniformityNormalized_slope_t0_t24,0.00014526041399440866,False,False,False
original_firstorder_Maximum_delta,0.00014476855521975627,False,False,False
original_firstorder_InterquartileRange_delta,0.0001416841916532038,False,False,False
original_firstorder_Skewness_t24,0.00013503239775686636,False,False,False
original_firstorder_Maximum_slope_t48_t72,0.0001324392396894315,False,False,False
original_gldm_SmallDependenceHighGrayLevelEmphasis_t72,0.00013152910177529343,False,False,False
original_shape2D_Elongation_delta,0.000130632828175988,False,False,False
original_firstorder_Maximum_slope,0.00012232678190890128,False,False,False
original_firstorder_InterquartileRange_t24,0.00011252592326160405,False,False,False
original_firstorder_10Percentile_delta_t24_t48,0.00011194492334497215,False,False,False
original_firstorder_Minimum_t72,0.00011168430441111498,False,False,False
original_shape2D_PerimeterSurfaceRatio_delta_t24_t48,0.00010648338138490695,False,False,False
original_firstorder_90Percentile_t48,0.0001064622641294054,False,False,False
original_firstorder_InterquartileRange_mean,0.00010604496371610172,True,False,False
original_firstorder_MeanAbsoluteDeviation_t48,0.00010564148565383286,False,False,False
original_firstorder_Kurtosis_delta_t24_t48,0.000105487344063408,False,False,False
original_ngtdm_Contrast_t72,0.00010438230072101328,False,False,False
original_firstorder_90Percentile_slope_t0_t24,0.00010305682085623273,False,False,False
original_ngtdm_Contrast_std,0.00010206243100375958,False,False,False
original_firstorder_90Percentile_mean,0.00010137696305742261,False,False,False
original_shape2D_Sphericity_delta,9.965359177308467e-05,True,False,False
original_ngtdm_Contrast_t48,9.924886895865209e-05,False,False,False
original_gldm_SmallDependenceHighGrayLevelEmphasis_mean,9.521421572823316e-05,False,False,False
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope_t0_t24,9.51217458046862e-05,False,False,False
original_glrlm_LongRunEmphasis_delta_t48_t72,9.415182252792544e-05,False,False,False
original_firstorder_Energy_delta_t0_t24,8.626084909289912e-05,False,False,False
original_glrlm_RunLengthNonUniformityNormalized_delta_t48_t72,8.442976576884413e-05,False,False,False
original_shape2D_MeshSurface_delta_t0_t24,7.901525065653137e-05,False,False,False
original_firstorder_Maximum_delta_t48_t72,7.896238793370521e-05,False,False,False
original_glrlm_LongRunEmphasis_t72,7.677329627312553e-05,False,False,False
original_firstorder_InterquartileRange_slope,7.66294193826824e-05,False,False,False
original_firstorder_RootMeanSquared_mean,7.573905810551668e-05,False,False,False
original_firstorder_RootMeanSquared_t0,7.492541532177254e-05,False,False,False
original_gldm_SmallDependenceHighGrayLevelEmphasis_t24,7.461816922354033e-05,False,False,False
original_firstorder_InterquartileRange_slope_t24_t48,7.339883847134496e-05,False,False,False
original_firstorder_Energy_slope_t0_t24,7.292018088130973e-05,False,False,False
original_firstorder_Energy_std,7.284028967919742e-05,False,False,False
original_shape2D_Perimeter_std,7.242390130958833e-05,False,False,False
original_firstorder_Kurtosis_slope,7.151843032703193e-05,False,False,False
original_glrlm_RunLengthNonUniformityNormalized_delta_t24_t48,7.097107542964606e-05,False,False,False
original_shape2D_MinorAxisLength_delta,6.884174050686905e-05,False,False,False
original_gldm_SmallDependenceHighGrayLevelEmphasis_std,6.872953171323788e-05,False,False,False
original_shape2D_MinorAxisLength_t24,6.663270770358003e-05,False,False,False
original_firstorder_MeanAbsoluteDeviation_t24,6.394842517519123e-05,False,False,False
original_firstorder_Energy_delta_t48_t72,6.279524489186354e-05,False,False,False
original_firstorder_90Percentile_t72,6.0845816659108574e-05,False,False,False
original_firstorder_RootMeanSquared_slope,6.019345125832014e-05,False,False,False
original_ngtdm_Contrast_mean,5.9949937811102604e-05,False,False,False
original_glrlm_RunLengthNonUniformityNormalized_t72,5.935828721726806e-05,False,False,False
original_shape2D_Perimeter_mean,5.354575927322255e-05,False,False,False
original_firstorder_90Percentile_std,5.341592376818139e-05,False,False,False
original_shape2D_PerimeterSurfaceRatio_slope_t24_t48,5.112099455739559e-05,False,False,False
original_gldm_DependenceVariance_t24,5.0038474976989934e-05,False,False,False
original_shape2D_Perimeter_t72,4.730962834332757e-05,False,False,False
original_shape2D_Sphericity_delta_t0_t24,4.6262479954764997e-05,False,False,False
original_gldm_DependenceNonUniformityNormalized_t72,4.482059431314585e-05,False,False,False
original_firstorder_InterquartileRange_t0,4.455016879393902e-05,False,False,False
original_gldm_DependenceNonUniformityNormalized_t24,4.41727704257786e-05,False,False,False
original_shape2D_MinorAxisLength_t0,4.290003203562695e-05,False,False,False
original_firstorder_Minimum_delta_t24_t48,4.21677146586348e-05,False,False,False
original_firstorder_90Percentile_delta,4.1668043297437773e-05,False,False,False
original_firstorder_Energy_slope_t48_t72,4.127533751088001e-05,False,False,False
original_firstorder_RootMeanSquared_delta_t48_t72,4.0973136167161946e-05,False,False,False
original_shape2D_Elongation_delta_t0_t24,3.9691438369824154e-05,False,False,False
original_shape2D_MeshSurface_slope_t48_t72,3.954449868002235e-05,False,False,False
original_gldm_DependenceVariance_slope_t24_t48,3.928938051990871e-05,False,False,False
original_firstorder_Maximum_slope_t24_t48,3.7340114284891804e-05,False,False,False
original_firstorder_10Percentile_mean,3.54928155987512e-05,False,False,False
original_shape2D_MinorAxisLength_delta_t0_t24,3.48556320072191e-05,False,False,False
original_firstorder_Minimum_std,3.429701334776824e-05,False,False,False
original_glrlm_LongRunEmphasis_slope_t0_t24,3.234816689243869e-05,False,False,False
original_shape2D_Elongation_slope,3.222437320370333e-05,False,False,False
original_gldm_DependenceVariance_slope_t0_t24,3.2102390346856474e-05,False,False,False
original_ngtdm_Contrast_t24,3.147768332153008e-05,False,False,False
original_shape2D_Sphericity_t24,3.1155670058153686e-05,False,False,False
original_glrlm_RunEntropy_slope_t0_t24,2.8973918593553066e-05,False,False,False
original_shape2D_MajorAxisLength_slope_t24_t48,2.8869202734959338e-05,True,False,False
original_firstorder_Minimum_delta_t0_t24,2.8592340727555745e-05,False,False,False
original_glrlm_RunLengthNonUniformityNormalized_delta_t0_t24,2.7705704566244645e-05,False,False,False
original_firstorder_Energy_mean,2.6445396810708253e-05,False,False,False
original_shape2D_MeshSurface_slope_t24_t48,2.5736240605060627e-05,False,False,False
original_glrlm_RunLengthNonUniformityNormalized_slope_t24_t48,2.564337256340753e-05,False,False,False
original_firstorder_InterquartileRange_t48,2.4650992748525438e-05,False,False,False
original_firstorder_Skewness_slope_t0_t24,2.4035526206617236e-05,False,False,False
original_gldm_SmallDependenceHighGrayLevelEmphasis_t48,2.3404484680768822e-05,False,False,False
original_glrlm_RunLengthNonUniformityNormalized_slope_t0_t24,2.3094326013102493e-05,False,False,False
original_shape2D_MeshSurface_std,2.3005989531830662e-05,False,False,False
original_firstorder_10Percentile_std,2.283415138729424e-05,False,False,False
original_gldm_DependenceVariance_delta_t48_t72,2.04840747533395e-05,False,False,False
original_gldm_DependenceVariance_t72,2.0015291312879026e-05,False,False,False
original_firstorder_Skewness_t48,1.8900079169930155e-05,False,False,False
original_firstorder_Minimum_delta,1.8251580445485366e-05,False,False,False
original_shape2D_MajorAxisLength_delta_t24_t48,1.7273894796523628e-05,False,False,False
original_shape2D_MajorAxisLength_delta,1.6892184921934e-05,False,False,False
original_shape2D_PerimeterSurfaceRatio_slope,1.6836366261493288e-05,False,False,False
original_firstorder_90Percentile_delta_t0_t24,1.4838456094970106e-05,False,False,False
original_firstorder_MeanAbsoluteDeviation_slope_t24_t48,1.4535131329690653e-05,False,False,False
original_gldm_SmallDependenceLowGrayLevelEmphasis_t72,1.368083680741999e-05,False,False,False
original_firstorder_Skewness_delta_t24_t48,1.139166336581991e-05,False,False,False
original_gldm_DependenceNonUniformityNormalized_std,1.0689139990685487e-05,False,False,False
original_gldm_SmallDependenceLowGrayLevelEmphasis_t0,7.356047740732567e-06,False,False,False
original_firstorder_Skewness_delta_t0_t24,5.987724978686186e-06,False,False,False
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope,5.9640252594495325e-06,False,False,False
original_gldm_SmallDependenceHighGrayLevelEmphasis_slope_t24_t48,5.5193845924692716e-06,False,False,False
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope_t24_t48,3.445917907365369e-06,False,False,False
original_firstorder_90Percentile_t24,2.616894845222339e-06,False,False,False
original_firstorder_10Percentile_t72,2.18508322066982e-06,False,False,False
original_firstorder_10Percentile_t48,1.7173347475891237e-06,False,False,False
original_firstorder_10Percentile_delta,1.2352780810799051e-06,False,False,False
original_firstorder_Kurtosis_delta,1.1527404740074677e-06,False,False,False
original_firstorder_10Percentile_slope_t48_t72,1.0024845052950554e-06,True,False,False
original_firstorder_MeanAbsoluteDeviation_t72,9.162960009728778e-07,False,False,False
original_glrlm_RunLengthNonUniformityNormalized_slope_t48_t72,9.04761941543367e-07,False,False,False
original_gldm_SmallDependenceLowGrayLevelEmphasis_delta_t24_t48,8.35195548632758e-07,False,False,False
original_glrlm_LongRunEmphasis_delta,5.024851139415618e-07,False,False,False
original_firstorder_MeanAbsoluteDeviation_delta_t48_t72,3.897293211408863e-07,False,False,False
original_firstorder_RootMeanSquared_t48,3.6079651366099397e-07,False,False,False
original_shape2D_Perimeter_t0,2.7316221606755526e-07,False,False,False
original_glrlm_RunLengthNonUniformityNormalized_slope,1.377724208867727e-07,True,False,False
original_firstorder_RootMeanSquared_slope_t48_t72,9.618057391266697e-08,False,False,False
original_firstorder_MeanAbsoluteDeviation_slope_t48_t72,0.0,False,False,False
original_glrlm_RunEntropy_slope_t24_t48,0.0,False,False,False
original_firstorder_MeanAbsoluteDeviation_t0,0.0,False,False,False
original_firstorder_Minimum_slope_t0_t24,0.0,True,False,False
original_glrlm_RunEntropy_delta,0.0,False,False,False
original_shape2D_PerimeterSurfaceRatio_slope_t0_t24,0.0,False,False,False
original_firstorder_10Percentile_t0,0.0,False,False,False
original_firstorder_10Percentile_slope,0.0,False,False,False
original_gldm_DependenceVariance_slope_t48_t72,0.0,False,False,False
original_shape2D_Elongation_t24,0.0,False,False,False
original_ngtdm_Contrast_delta_t48_t72,0.0,False,False,False
terminal_timepoint,0.0,False,False,False
