feature,p_value,n_thresholds_actual,n_thresholds_null,actual_mean,null_mean,mean_r2,mean_mae
original_shape2D_MajorAxisLength_t24,,0,138,,-0.1589477662321018,,0.13596141547516663
original_shape2D_MajorAxisLength_t48,,0,104,,0.18303536728042394,,0.13596141547516663
original_shape2D_MajorAxisLength_t72,,1,34,-0.01712241768836975,0.13201647602459965,,0.13596141547516663
original_shape2D_MajorAxisLength_delta,,0,51,,0.309604295839866,,0.13596141547516663
original_shape2D_MajorAxisLength_slope,,0,47,,-0.0009218592954021779,,0.13596141547516663
original_shape2D_MajorAxisLength_mean,,1,27,-0.09362617135047913,0.047987366664326854,,0.13596141547516663
original_shape2D_MajorAxisLength_delta_t0_t24,,0,21,,-0.02754052799372446,,0.13596141547516663
original_shape2D_MajorAxisLength_slope_t0_t24,,0,57,,-0.010277810392149707,,0.13596141547516663
original_shape2D_MajorAxisLength_delta_t24_t48,,0,113,,0.3011828634714856,,0.13596141547516663
original_shape2D_MajorAxisLength_slope_t24_t48,,0,31,,0.014479861267083775,,0.13596141547516663
original_shape2D_MajorAxisLength_delta_t48_t72,,0,41,,-0.02350918230850522,,0.13596141547516663
original_shape2D_MajorAxisLength_slope_t48_t72,,1,341,0.005587022984400392,-0.005799928205780811,,0.13596141547516663
original_shape2D_MeshSurface_t0,,1,47,0.304214209318161,0.10961462670263458,,0.13596141547516663
original_shape2D_MeshSurface_t24,,0,54,,-0.28176112845540047,,0.13596141547516663
original_shape2D_MeshSurface_t72,,0,53,,-0.11708383555611912,,0.13596141547516663
original_shape2D_MeshSurface_slope,,1,85,0.005639693699777126,-0.0008045126656618188,,0.13596141547516663
original_shape2D_MeshSurface_mean,,0,37,,0.04040409978542074,,0.13596141547516663
original_shape2D_MeshSurface_std,,0,174,,0.2927239265763897,,0.13596141547516663
original_shape2D_MeshSurface_delta_t0_t24,,0,56,,-0.4126191558648965,,0.13596141547516663
original_shape2D_MeshSurface_slope_t0_t24,,1,61,-0.027674129232764244,-0.008218910275065324,,0.13596141547516663
original_shape2D_MeshSurface_slope_t24_t48,,0,68,,0.0044097204411039405,,0.13596141547516663
original_shape2D_MeshSurface_delta_t48_t72,,1,132,0.06672519724816084,-0.1276837697845291,,0.13596141547516663
original_shape2D_MeshSurface_slope_t48_t72,,0,57,,-0.008406753678348634,,0.13596141547516663
original_shape2D_MinorAxisLength_t0,,0,217,,0.17144117864870256,,0.13596141547516663
original_shape2D_MinorAxisLength_t24,,0,59,,0.1668430758261327,,0.13596141547516663
original_shape2D_MinorAxisLength_t48,,0,102,,-0.20236811619799802,,0.13596141547516663
original_shape2D_MinorAxisLength_t72,,0,62,,-0.36842257844311405,,0.13596141547516663
original_shape2D_MinorAxisLength_delta,,0,134,,-0.5276634185574949,,0.13596141547516663
original_shape2D_MinorAxisLength_slope,,0,11,,-0.007307805343192409,,0.13596141547516663
original_shape2D_MinorAxisLength_mean,,0,32,,-0.0003990665645687841,,0.13596141547516663
original_shape2D_MinorAxisLength_delta_t0_t24,,0,45,,-0.28726201529304185,,0.13596141547516663
original_shape2D_MinorAxisLength_delta_t24_t48,,0,49,,-0.1853853849960225,,0.13596141547516663
original_shape2D_MinorAxisLength_slope_t24_t48,,0,30,,-0.01698891439009458,,0.13596141547516663
original_shape2D_MinorAxisLength_delta_t48_t72,,1,111,-1.0535052418708801,-0.32599880610097637,,0.13596141547516663
