feature,n_folds_selected,selection_frequency
original_gldm_DependenceNonUniformityNormalized_t0,11,0.39285714285714285
original_glrlm_RunEntropy_delta_t24_t48,11,0.39285714285714285
original_shape2D_Perimeter_t48,11,0.39285714285714285
original_gldm_SmallDependenceHighGrayLevelEmphasis_mean,11,0.39285714285714285
original_gldm_SmallDependenceLowGrayLevelEmphasis_t24,11,0.39285714285714285
original_glrlm_RunEntropy_slope_t24_t48,11,0.39285714285714285
original_shape2D_MeshSurface_t48,11,0.39285714285714285
original_shape2D_MeshSurface_t72,11,0.39285714285714285
original_shape2D_Elongation_t48,11,0.39285714285714285
original_firstorder_90Percentile_slope_t24_t48,11,0.39285714285714285
original_glrlm_LongRunEmphasis_mean,11,0.39285714285714285
original_firstorder_10Percentile_mean,11,0.39285714285714285
original_glrlm_LongRunEmphasis_slope,11,0.39285714285714285
original_firstorder_Skewness_t48,11,0.39285714285714285
original_firstorder_90Percentile_delta_t24_t48,11,0.39285714285714285
original_firstorder_InterquartileRange_slope,11,0.39285714285714285
original_gldm_SmallDependenceLowGrayLevelEmphasis_std,11,0.39285714285714285
original_shape2D_MajorAxisLength_slope,11,0.39285714285714285
original_firstorder_InterquartileRange_slope_t48_t72,11,0.39285714285714285
original_firstorder_Minimum_slope_t24_t48,11,0.39285714285714285
original_firstorder_Energy_std,11,0.39285714285714285
original_firstorder_Minimum_delta_t24_t48,11,0.39285714285714285
original_firstorder_Maximum_delta_t0_t24,11,0.39285714285714285
original_firstorder_Maximum_slope_t0_t24,11,0.39285714285714285
original_firstorder_Maximum_delta_t24_t48,11,0.39285714285714285
original_shape2D_Elongation_delta_t24_t48,11,0.39285714285714285
original_ngtdm_Contrast_t24,11,0.39285714285714285
original_firstorder_InterquartileRange_std,11,0.39285714285714285
original_shape2D_Sphericity_delta_t24_t48,11,0.39285714285714285
original_glrlm_LongRunEmphasis_delta,11,0.39285714285714285
original_glrlm_LongRunEmphasis_t24,11,0.39285714285714285
original_firstorder_10Percentile_t24,11,0.39285714285714285
original_firstorder_InterquartileRange_t72,11,0.39285714285714285
original_firstorder_InterquartileRange_t0,11,0.39285714285714285
original_firstorder_Energy_slope,11,0.39285714285714285
original_firstorder_Energy_slope_t24_t48,10,0.35714285714285715
original_firstorder_Energy_delta_t24_t48,10,0.35714285714285715
original_shape2D_MajorAxisLength_delta_t24_t48,10,0.35714285714285715
original_shape2D_MeshSurface_t0,10,0.35714285714285715
original_gldm_SmallDependenceHighGrayLevelEmphasis_delta_t24_t48,10,0.35714285714285715
original_gldm_DependenceNonUniformityNormalized_delta,10,0.35714285714285715
original_shape2D_Perimeter_slope_t24_t48,10,0.35714285714285715
original_gldm_DependenceNonUniformityNormalized_delta_t24_t48,10,0.35714285714285715
original_gldm_SmallDependenceHighGrayLevelEmphasis_delta,10,0.35714285714285715
original_shape2D_MajorAxisLength_slope_t24_t48,10,0.35714285714285715
original_firstorder_Maximum_mean,10,0.35714285714285715
original_firstorder_MeanAbsoluteDeviation_t24,10,0.35714285714285715
original_shape2D_Elongation_slope_t24_t48,10,0.35714285714285715
original_firstorder_Maximum_t48,10,0.35714285714285715
original_firstorder_Maximum_t72,10,0.35714285714285715
original_firstorder_MeanAbsoluteDeviation_delta,10,0.35714285714285715
original_firstorder_InterquartileRange_delta_t48_t72,10,0.35714285714285715
original_firstorder_MeanAbsoluteDeviation_delta_t48_t72,10,0.35714285714285715
original_firstorder_MeanAbsoluteDeviation_std,10,0.35714285714285715
original_firstorder_MeanAbsoluteDeviation_slope,10,0.35714285714285715
original_firstorder_RootMeanSquared_t24,10,0.35714285714285715
original_firstorder_Minimum_slope_t48_t72,10,0.35714285714285715
original_firstorder_Kurtosis_delta_t24_t48,10,0.35714285714285715
original_firstorder_InterquartileRange_slope_t0_t24,10,0.35714285714285715
original_shape2D_Sphericity_delta_t0_t24,10,0.35714285714285715
original_firstorder_90Percentile_mean,10,0.35714285714285715
original_firstorder_10Percentile_slope_t24_t48,10,0.35714285714285715
original_firstorder_Minimum_delta_t48_t72,10,0.35714285714285715
original_shape2D_Sphericity_mean,10,0.35714285714285715
original_shape2D_Sphericity_t48,10,0.35714285714285715
original_firstorder_10Percentile_t0,10,0.35714285714285715
original_shape2D_PerimeterSurfaceRatio_t0,10,0.35714285714285715
original_gldm_DependenceNonUniformityNormalized_slope,10,0.35714285714285715
original_gldm_DependenceNonUniformityNormalized_slope_t24_t48,10,0.35714285714285715
original_shape2D_Sphericity_slope_t24_t48,10,0.35714285714285715
original_firstorder_InterquartileRange_delta_t0_t24,10,0.35714285714285715
original_firstorder_Energy_delta,10,0.35714285714285715
original_firstorder_RootMeanSquared_std,10,0.35714285714285715
original_firstorder_InterquartileRange_delta,10,0.35714285714285715
original_gldm_SmallDependenceHighGrayLevelEmphasis_slope,9,0.32142857142857145
original_firstorder_Maximum_delta_t48_t72,9,0.32142857142857145
original_ngtdm_Contrast_t72,9,0.32142857142857145
original_firstorder_Maximum_slope,9,0.32142857142857145
original_firstorder_Kurtosis_slope_t24_t48,9,0.32142857142857145
original_firstorder_Kurtosis_slope,9,0.32142857142857145
original_firstorder_MeanAbsoluteDeviation_t72,9,0.32142857142857145
original_glrlm_LongRunEmphasis_t72,9,0.32142857142857145
original_firstorder_RootMeanSquared_delta_t0_t24,9,0.32142857142857145
original_firstorder_10Percentile_delta_t24_t48,9,0.32142857142857145
original_glrlm_RunEntropy_slope,9,0.32142857142857145
original_shape2D_Sphericity_slope_t0_t24,9,0.32142857142857145
original_shape2D_Sphericity_t72,9,0.32142857142857145
original_glrlm_RunLengthNonUniformityNormalized_delta_t0_t24,9,0.32142857142857145
original_gldm_DependenceNonUniformityNormalized_slope_t0_t24,9,0.32142857142857145
original_glrlm_RunEntropy_slope_t48_t72,9,0.32142857142857145
original_glrlm_RunEntropy_delta_t48_t72,9,0.32142857142857145
original_shape2D_MinorAxisLength_t72,9,0.32142857142857145
original_shape2D_MajorAxisLength_slope_t48_t72,9,0.32142857142857145
original_gldm_DependenceNonUniformityNormalized_mean,9,0.32142857142857145
original_gldm_SmallDependenceHighGrayLevelEmphasis_t0,9,0.32142857142857145
original_shape2D_Perimeter_delta_t24_t48,9,0.32142857142857145
original_shape2D_MeshSurface_mean,9,0.32142857142857145
original_gldm_SmallDependenceHighGrayLevelEmphasis_slope_t24_t48,9,0.32142857142857145
original_shape2D_PerimeterSurfaceRatio_t72,9,0.32142857142857145
original_shape2D_Sphericity_t24,9,0.32142857142857145
original_shape2D_PerimeterSurfaceRatio_mean,9,0.32142857142857145
original_shape2D_Sphericity_t0,9,0.32142857142857145
original_shape2D_PerimeterSurfaceRatio_t48,9,0.32142857142857145
original_glrlm_LongRunEmphasis_std,9,0.32142857142857145
original_firstorder_10Percentile_t72,9,0.32142857142857145
original_firstorder_RootMeanSquared_delta_t48_t72,9,0.32142857142857145
original_firstorder_RootMeanSquared_slope_t48_t72,9,0.32142857142857145
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope_t24_t48,9,0.32142857142857145
original_firstorder_Maximum_slope_t48_t72,9,0.32142857142857145
original_firstorder_MeanAbsoluteDeviation_slope_t48_t72,9,0.32142857142857145
original_firstorder_Kurtosis_t24,9,0.32142857142857145
original_firstorder_Minimum_slope_t0_t24,9,0.32142857142857145
original_firstorder_Kurtosis_delta,9,0.32142857142857145
original_firstorder_Energy_slope_t0_t24,9,0.32142857142857145
original_gldm_DependenceNonUniformityNormalized_delta_t0_t24,8,0.2857142857142857
original_shape2D_MeshSurface_std,8,0.2857142857142857
original_shape2D_MajorAxisLength_delta_t48_t72,8,0.2857142857142857
original_gldm_SmallDependenceLowGrayLevelEmphasis_t48,8,0.2857142857142857
original_shape2D_Elongation_t24,8,0.2857142857142857
