model,feature,mean_importance,var_importance,mean_r2,var_r2,mean_mae,var_mae,n_folds_selected,selection_frequency
ExtraTree,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.0,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,0,0.0
ExtraTree,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.07426149391277033,1.2447626261694914e-05,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,28,1.0
ExtraTree,original_glrlm_LongRunEmphasis,0.07843041610800804,6.839721011840368e-06,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,28,1.0
ExtraTree,original_glrlm_RunEntropy,0.0,0.0,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,0,0.0
ExtraTree,original_glrlm_RunLengthNonUniformityNormalized,0.0,0.0,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,0,0.0
ExtraTree,original_ngtdm_Contrast,0.049066871257044294,0.0006845700214114871,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,22,0.7857142857142857
ExtraTree,original_shape2D_Elongation,0.008443441629901046,0.00044376428228951406,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,4,0.14285714285714285
ExtraTree,original_shape2D_MajorAxisLength,0.0,0.0,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,0,0.0
ExtraTree,original_shape2D_MeshSurface,0.0,0.0,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,0,0.0
ExtraTree,original_shape2D_MinorAxisLength,0.06828385317053379,3.132963155822066e-06,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,28,1.0
ExtraTree,original_shape2D_Perimeter,0.0,0.0,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,0,0.0
ExtraTree,original_shape2D_PerimeterSurfaceRatio,0.11661664102385567,1.8550413865939946e-05,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,28,1.0
ExtraTree,original_shape2D_Sphericity,0.10791974270867281,1.887832908053239e-05,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,28,1.0
RandomForest,original_firstorder_10Percentile,0.06043184128192199,2.110646608195082e-05,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,28,1.0
RandomForest,original_firstorder_90Percentile,0.03680958161119873,0.0005637767374649999,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,20,0.7142857142857143
RandomForest,original_firstorder_Energy,0.04974081663546979,9.62794594459881e-05,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,27,0.9642857142857143
RandomForest,original_firstorder_InterquartileRange,0.014975083345471572,0.0005823913040899176,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,8,0.2857142857142857
RandomForest,original_firstorder_Kurtosis,0.09865927346982674,4.0771988932236326e-05,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,28,1.0
RandomForest,original_firstorder_Maximum,0.05784861993632113,5.190124471541826e-06,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,28,1.0
RandomForest,original_firstorder_MeanAbsoluteDeviation,0.0,0.0,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,0,0.0
RandomForest,original_firstorder_Minimum,0.0017772640978432127,8.844269485750856e-05,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,1,0.03571428571428571
RandomForest,original_firstorder_RootMeanSquared,0.07401157958717856,1.4230439894778284e-05,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,28,1.0
RandomForest,original_firstorder_Skewness,0.0017924603735342774,8.996159733933795e-05,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,1,0.03571428571428571
RandomForest,original_gldm_DependenceNonUniformityNormalized,0.10599522205233407,0.00017424476467367832,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,28,1.0
RandomForest,original_gldm_DependenceVariance,0.0,0.0,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,0,0.0
RandomForest,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.0,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,0,0.0
RandomForest,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0714751558264748,5.332986077429012e-05,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,28,1.0
RandomForest,original_glrlm_LongRunEmphasis,0.05792212122924994,0.0001554624184152143,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,27,0.9642857142857143
RandomForest,original_glrlm_RunEntropy,0.0,0.0,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,0,0.0
RandomForest,original_glrlm_RunLengthNonUniformityNormalized,0.0,0.0,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,0,0.0
RandomForest,original_ngtdm_Contrast,0.05534594536372477,3.335648301412063e-06,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,28,1.0
RandomForest,original_shape2D_Elongation,0.05151578357780767,1.6332123643910548e-06,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,28,1.0
RandomForest,original_shape2D_MajorAxisLength,0.0,0.0,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,0,0.0
RandomForest,original_shape2D_MeshSurface,0.0,0.0,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,0,0.0
RandomForest,original_shape2D_MinorAxisLength,0.0,0.0,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,0,0.0
RandomForest,original_shape2D_Perimeter,0.0,0.0,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,0,0.0
RandomForest,original_shape2D_PerimeterSurfaceRatio,0.16573539208557356,0.00017846737152135312,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,28,1.0
RandomForest,original_shape2D_Sphericity,0.09596385952606915,7.987727178057166e-06,0.19431195950816887,0.08757370909823438,0.1308958690057974,0.001010020645949741,28,1.0
