model,fold,feature,importance,r2,mae
RandomForest,5,original_firstorder_MeanAbsoluteDeviation,0.0,0.3254541050635028,0.11700454491100704
RandomForest,5,original_firstorder_Minimum,0.0,0.3254541050635028,0.11700454491100704
RandomForest,5,original_firstorder_RootMeanSquared,0.0723133537072574,0.3254541050635028,0.11700454491100704
RandomForest,5,original_firstorder_Skewness,0.050188890458959766,0.3254541050635028,0.11700454491100704
RandomForest,5,original_glrlm_LongRunEmphasis,0.05677606563164432,0.3254541050635028,0.11700454491100704
RandomForest,5,original_glrlm_RunEntropy,0.0,0.3254541050635028,0.11700454491100704
RandomForest,5,original_glrlm_RunLengthNonUniformityNormalized,0.0,0.3254541050635028,0.11700454491100704
RandomForest,5,original_gldm_DependenceNonUniformityNormalized,0.09586967878329089,0.3254541050635028,0.11700454491100704
RandomForest,5,original_gldm_DependenceVariance,0.0,0.3254541050635028,0.11700454491100704
RandomForest,5,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.3254541050635028,0.11700454491100704
RandomForest,5,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.07377453646087279,0.3254541050635028,0.11700454491100704
RandomForest,5,original_ngtdm_Contrast,0.0549122428123611,0.3254541050635028,0.11700454491100704
RandomForest,6,original_shape2D_Elongation,0.05060658705179803,0.14054905221955194,0.10833384135666374
RandomForest,6,original_shape2D_MajorAxisLength,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_shape2D_MeshSurface,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_shape2D_MinorAxisLength,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_shape2D_Perimeter,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_shape2D_PerimeterSurfaceRatio,0.15767290815404839,0.14054905221955194,0.10833384135666374
RandomForest,6,original_shape2D_Sphericity,0.09339924681618562,0.14054905221955194,0.10833384135666374
RandomForest,6,original_firstorder_10Percentile,0.05614674568472476,0.14054905221955194,0.10833384135666374
RandomForest,6,original_firstorder_90Percentile,0.051616542383576415,0.14054905221955194,0.10833384135666374
RandomForest,6,original_firstorder_Energy,0.05224469502552324,0.14054905221955194,0.10833384135666374
RandomForest,6,original_firstorder_InterquartileRange,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_firstorder_Kurtosis,0.10211774493129372,0.14054905221955194,0.10833384135666374
RandomForest,6,original_firstorder_Maximum,0.05445607457609694,0.14054905221955194,0.10833384135666374
RandomForest,6,original_firstorder_MeanAbsoluteDeviation,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_firstorder_Minimum,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_firstorder_RootMeanSquared,0.07706448031251702,0.14054905221955194,0.10833384135666374
RandomForest,6,original_firstorder_Skewness,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_glrlm_LongRunEmphasis,0.06606736256317315,0.14054905221955194,0.10833384135666374
RandomForest,6,original_glrlm_RunEntropy,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_glrlm_RunLengthNonUniformityNormalized,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_gldm_DependenceNonUniformityNormalized,0.11332606309311231,0.14054905221955194,0.10833384135666374
RandomForest,6,original_gldm_DependenceVariance,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.14054905221955194,0.10833384135666374
RandomForest,6,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.06901225025353268,0.14054905221955194,0.10833384135666374
RandomForest,6,original_ngtdm_Contrast,0.05626929915441774,0.14054905221955194,0.10833384135666374
RandomForest,7,original_shape2D_Elongation,0.05010338661829194,0.05163531666956589,0.16560300991441848
RandomForest,7,original_shape2D_MajorAxisLength,0.0,0.05163531666956589,0.16560300991441848
